id,description,calories,protein_g,carbs_g,fat_g,quantity,complexity,naming,ingredients,notes
meal_001,Jabłko 180g,162,"1,26","32,76","1,26",explicit,simple,generic,"Jabłko,180",
meal_002,jeden baton Sante Baton Proteinowy Go On Kakaowy,208,10,22,"8,5",explicit,simple,branded,"Sante Baton Proteinowy Go On Kakaowy,50",
meal_003,Półtora jabłka,243,"1,89","49,14","1,89",vague,simple,generic,"Jabłko,270",
meal_004,Skyr 0% tłuszczu 170g,"112,2","20,4","7,65",0,explicit,simple,generic,"skyr 0% tłuszczu,170",
meal_005,garść żelek Złote Misie – Haribo,"171,5","3,45","38,5","0,25",vague,simple,branded,"Złote Misie – Haribo,50",
meal_006,łyżka cukru,"5,88",0,"1,44",0,explicit,simple,generic,"cukier biały,12",
meal_007,jeden lód kaktus nestle,"62,88","0,24","11,52","1,632",explicit,simple,branded,"Lody kaktus – Nestlé,48",
meal_008,porcja lodów śmietankowych grycan,"104,8","1,84","10,32","6,2",vague,simple,branded,"Lody śmietankowe – Grycan,40",
meal_009,54g chleba tostowego maślanego i 30g szynki ze schabu,"180,66","11,544","27,6","2,82",explicit,simple,generic,"chleb tostowy maślany,54;szynka schab,30",
meal_010,dwie kanapki z chlebem tostowym maślanym i szynką ze schabu,"180,66","11,544","27,6","2,82",vague,simple,generic,"chleb tostowy maślany,54;szynka schab,30",
meal_011,puszka 500ml piwa lech premium i paczka 180g chipsów lay's oven baked grilled paprika,"1000,6","12,9",140,"27,5",explicit,simple,branded,"Lech Premium,500;Lay's Oven Baked Grilled Paprika,180",
meal_012,3 parówki berlinki kurczak i porcja ketchupu,321,"23,1","13,25","19,55",vague,simple,branded,"Berlinki Kurczak,150;Tomato ketchup – Heinz,50",
meal_013,jogurt naturalny z garścią malin,"254,1","16,91","25,71","8,21",vague,simple,generic,"jogurt naturalny,400;maliny,70",
meal_014,"dwa jajka, ogórek gruntowy 80g, pomidorki koktajlowe 40g, bułka kajzerka 50g","334,56","15,8472","33,9664","13,7272",explicit,composite,generic,"jajko,112;ogórek gruntowy,80;pomidorki koktajlowe,40;bułka kajzerka,50",
meal_015,"cheeseburger, średnie frytki i 5 McNuggets z McDonalds","856,57","33,54","87,96","40,34",explicit,composite,branded,"Cheeseburger,120;średnie frytki,115;5 mcnuggets,92",
meal_016,domowa mała pizza napoletana marinara,"613,298","21,9578","124,2676","1,709",vague,composite,generic,"mąka caputo 00,170;woda,105;drożdże piekarskie,0,2;sól,4,4;Pomidory krojone,57",
meal_017,"posiłek składający się z małej chałki, jajka, 5 łyżek mleka, odrobiny cukru wanilinowego i 2 dużych łyżek dżemu truskawkowego","1172,9","30,1","190,1","31,7",vague,composite,generic,"Chałka Mała,250;Jaja Świeże,50;mleko 3.2%,50;Cukier wanilinowy,5;Dżem truskawkowy,50",
meal_018,"porcja makarronu spaghetti, trochę oliwy z oliwek, ząbek czosnku","239,45","5,6","32,05","9,915",vague,composite,generic,"Makaron spaghetti,80;Extra virgin olive oil,10;Czosnek,5",
meal_019,"Popeyes zestaw kanapka deluxe spicy, 3pc tenders, średnie frytki z przyprawą cajun","1500,49","81,0904","105,2904","86,765",explicit,composite,branded,"Kanapka Deluxe Spicy Popeyes (Popeyes),273;3 pc tenders,100;cajun fries medium,100",
meal_020,"połowa opakowania 150g łososia wędzonego na zimno, łyżka majonezu i dwie kromki pumpernikla","390,45","18,745","26,665","21,325",explicit,composite,generic,"Łosoś wędzony na zimno,75;Majonez,15;Pumpernikiel,80",
meal_021,"połowa tabliczki czekolady 64% e. wedel, pół opakowania precelków lajkonik, paczka żelek języczki haribo, garść orzechów nerkowca","1055,7","23,645","124,5","44,17",explicit,composite,branded,"Czekolada klasyczna gorzka 64% – E. Wedel,45;Precelki chrupkie – Lajkonik,90;żelki języczki – Haribo,50;Orzechy nerkowca,50",
